34.	JG 籍贯
 
编码	名称
26140311	山西阳泉郊区
26140321	山西平定
26140322	山西盂县
261404	山西长治市
26140401	山西长治
26140402	山西长治城区
26140411	山西长治郊区
26140421	山西长治县
26140423	山西襄垣
26140424	山西屯留
26140425	山西平顺
26140426	山西黎城
26140427	山西壶关
26140428	山西长子
26140429	山西武乡
26140430	山西沁县
26140431	山西沁源
26140481	山西潞城
261405	山西晋城
26140501	山西晋城
26140502	山西晋城城区
26140521	山西沁水
26140522	山西阳城
26140524	山西陵川
26140525	山西泽州
26140581	山西高平
261406	山西朔州
26140601	山西朔州
26140602	山西朔州朔城
26140603	山西朔州平鲁
26140621	山西山阴
26140622	山西应县
26140623	山西右玉
26140624	山西怀仁
261407	山西晋中
26140701	山西晋中
26140702	山西晋中榆次
26140721	山西榆社
26140722	山西左权
26140723	山西和顺
26140724	山西昔阳
26140725	山西寿阳
26140726	山西太谷
26140727	山西祁县
26140728	山西平遥
26140729	山西灵石
26140781	山西介休
261408	山西运城
26140801	山西运城
26140802	山西运城盐湖
26140821	山西临猗
26140822	山西万荣
26140823	山西闻喜
26140824	山西稷山
26140825	山西新绛
26140826	山西绛县
26140827	山西垣曲
26140828	山西夏县
26140829	山西平陆
26140830	山西芮城
26140881	山西永济
26140882	山西河津
261409	山西忻州
26140901	山西忻州
26140902	山西忻州忻府
26140921	山西定襄
26140922	山西五台
26140923	山西代县
26140924	山西繁峙
26140925	山西宁武
26140926	山西静乐
26140927	山西神池
26140928	山西五寨
26140929	山西岢岚
26140930	山西河曲
26140931	山西保德
26140932	山西偏关
26140981	山西原平
261410	山西临汾
26141001	山西临汾
26141002	山西临汾尧都
26141021	山西曲沃
26141022	山西翼城
26141023	山西襄汾
26141024	山西洪洞
26141025	山西古县
26141026	山西安泽
26141027	山西浮山
26141028	山西吉县
26141029	山西乡宁
26141030	山西大宁
26141031	山西隰县
26141032	山西永和
26141033	山西蒲县
26141034	山西汾西
26141081	山西侯马
26141082	山西霍州
261411	山西吕梁
26141101	山西吕梁
26141102	山西吕梁离石
26141121	山西文水
26141122	山西交城
26141123	山西兴县
26141124	山西临县
26141125	山西柳林
26141126	山西石楼
26141127	山西岚县
26141128	山西方山
26141129	山西中阳
26141130	山西交口
26141181	山西孝义
26141182	山西汾阳
26150	内蒙古
261501	内蒙古呼和浩特
26150101	内蒙古呼和浩特
26150102	内蒙古呼和浩特新城
26150103	内蒙古呼和浩特回民
26150104	内蒙古呼和浩特玉泉
26150105	内蒙古呼和浩特赛罕
26150121	内蒙古土默特左旗
26150122	内蒙古托克托
26150123	内蒙古和林格尔
26150124	内蒙古清水河
26150125	内蒙古武川
261502	内蒙古包头
26150201	内蒙古包头
26150202	内蒙古包头东河
26150203	内蒙古包头昆都仑
26150204	内蒙古包头青山
26150205	内蒙古包头石拐
26150206	内蒙古包头白云
26150207	内蒙古包头九原
26150221	内蒙古土默特右旗
26150222	内蒙古固阳
26150223	内蒙古达尔罕茂明安联合旗
261503	内蒙古乌海
26150301	内蒙古乌海
26150302	内蒙古乌海海勃湾
26150303	内蒙古乌海海南
26150304	内蒙古乌海乌达
261504	内蒙古赤峰
26150401	内蒙古赤峰
26150402	内蒙古赤峰红山
26150403	内蒙古赤峰元宝山
26150404	内蒙古赤峰松山
26150421	内蒙古阿鲁科尔沁旗
26150422	内蒙古巴林左旗
26150423	内蒙古巴林右旗
26150424	内蒙古林西
26150425	内蒙古克什克腾旗
26150426	内蒙古翁牛特旗
26150428	内蒙古喀喇沁旗
26150429	内蒙古宁城
26150430	内蒙古敖汉旗
261505	内蒙古通辽
26150501	内蒙古通辽
26150502	内蒙古通辽科尔沁
26150521	内蒙古科尔沁左翼中旗
26150522	内蒙古科尔沁左翼后旗
26150523	内蒙古开鲁
26150524	内蒙古库伦旗
26150525	内蒙古奈曼旗
26150526	内蒙古扎鲁特旗
26150581	内蒙古霍林郭勒
261506	内蒙古鄂尔多斯
26150602	内蒙古东胜
26150621	内蒙古达拉特旗
26150622	内蒙古准格尔旗
26150623	内蒙古鄂托克前旗
26150624	内蒙古鄂托克旗
26150625	内蒙古杭锦旗
26150626	内蒙古乌审旗
26150627	内蒙古伊金霍洛旗
261507	内蒙古呼伦贝尔
26150701	内蒙古呼伦贝尔
26150702	内蒙古呼伦贝尔海拉尔
26150721	内蒙古阿荣旗
26150722	内蒙古莫力达瓦达斡尔族自治旗
26150723	内蒙古鄂伦春自治旗
26150724	内蒙古鄂温克族自治旗
26150725	内蒙古陈巴尔虎旗
26150726	内蒙古新巴尔虎左旗
26150727	内蒙古新巴尔虎右旗
26150781	内蒙古满洲里
26150782	内蒙古牙克石
26150783	内蒙古扎兰屯
26150784	内蒙古额尔古纳
26150785	内蒙古根河
261508	内蒙古巴彦淖尔
26150801	内蒙古巴彦淖尔
26150802	内蒙古巴彦淖尔临河
26150821	内蒙古五原
26150822	内蒙古磴口
26150823	内蒙古乌拉特前旗
26150824	内蒙古乌拉特中旗
26150825	内蒙古乌拉特后旗
26150826	内蒙古杭锦后旗
261509	内蒙古乌兰察布
26150901	内蒙古乌兰察布
26150902	内蒙古乌兰察布集宁
26150921	内蒙古卓资
26150922	内蒙古化德
26150923	内蒙古商都
26150924	内蒙古兴和
26150925	内蒙古凉城
26150926	内蒙古察哈尔右翼前旗
26150927	内蒙古察哈尔右翼中旗
26150928	内蒙古察哈尔右翼后旗
26150929	内蒙古四子王旗
26150981	内蒙古丰镇
261522	内蒙古兴安
26152201	内蒙古乌兰浩特
26152202	内蒙古阿尔山
26152221	内蒙古科尔沁右翼前旗
26152222	内蒙古科尔沁右翼中旗
26152223	内蒙古扎赉特旗
26152224	内蒙古突泉
261525	内蒙古锡林郭勒
26152501	内蒙古二连浩特
26152502	内蒙古锡林浩特
26152522	内蒙古阿巴嘎旗
26152523	内蒙古苏尼特左旗
26152524	内蒙古苏尼特右旗
26152525	内蒙古东乌珠穆沁旗
26152526	内蒙古西乌珠穆沁旗
26152527	内蒙古太仆寺旗
26152528	内蒙古镶黄旗
26152529	内蒙古正镶白旗
26152530	内蒙古正蓝旗
26152531	内蒙古多伦
261529	内蒙古阿拉善
26152921	内蒙古阿拉善左旗
26152922	内蒙古阿拉善右旗
26152923	内蒙古额济纳旗
26210	辽宁
262101	辽宁沈阳
26210101	辽宁沈阳
26210102	辽宁沈阳和平
26210103	辽宁沈阳沈河
26210104	辽宁沈阳大东
26210105	辽宁沈阳皇姑
26210106	辽宁沈阳铁西
26210111	辽宁沈阳苏家屯
26210112	辽宁沈阳东陵
26210113	辽宁沈阳新城子
26210114	辽宁沈阳于洪
26210122	辽宁辽中
26210123	辽宁康平
26210124	辽宁法库
26210181	辽宁新民
262102	辽宁大连
26210201	辽宁大连
26210202	辽宁大连中山
26210203	辽宁大连西岗
26210204	辽宁大连沙河口
26210211	辽宁大连甘井子
26210212	辽宁大连旅顺口
26210213	辽宁大连金州
26210224	辽宁长海
26210281	辽宁瓦房店
26210282	辽宁普兰店
26210283	辽宁庄河
262103	辽宁鞍山
26210301	辽宁鞍山
26210302	辽宁鞍山铁东
26210303	辽宁鞍山铁西
26210304	辽宁鞍山立山
26210311	辽宁鞍山千山
26210321	辽宁台安
26210323	辽宁岫岩
26210381	辽宁海城
262104	辽宁抚顺市
26210401	辽宁抚顺
26210402	辽宁抚顺新抚
26210403	辽宁抚顺东洲
26210404	辽宁抚顺望花
26210411	辽宁抚顺顺城
26210421	辽宁抚顺县
26210422	辽宁新宾
26210423	辽宁清原
262105	辽宁本溪市
26210501	辽宁本溪
26210502	辽宁本溪平山
26210503	辽宁本溪溪湖
26210504	辽宁本溪明山
26210505	辽宁本溪南芬
26210521	辽宁本溪县
26210522	辽宁桓仁
262106	辽宁丹东
26210601	辽宁丹东
26210602	辽宁丹东元宝
26210603	辽宁丹东振兴
26210604	辽宁丹东振安
26210624	辽宁宽甸
26210681	辽宁东港
26210682	辽宁凤城
262107	辽宁锦州
26210701	辽宁锦州
26210702	辽宁锦州古塔
26210703	辽宁锦州凌河
26210711	辽宁锦州太和
26210726	辽宁黑山
26210727	辽宁义县
26210781	辽宁凌海
26210782	辽宁北宁
262108	辽宁营口
26210801	辽宁营口
26210802	辽宁营口站前
26210803	辽宁营口西市
26210804	辽宁营口鲅鱼圈
26210811	辽宁营口老边
26210881	辽宁盖州
26210882	辽宁大石桥
262109	辽宁阜新市
26210901	辽宁阜新
26210902	辽宁阜新海州
26210903	辽宁阜新新邱
26210904	辽宁阜新太平
26210905	辽宁阜新清河门
26210911	辽宁阜新细河
26210921	辽宁阜新县
26210922	辽宁彰武
262110	辽宁辽阳市
26211001	辽宁辽阳
26211002	辽宁辽阳白塔
26211003	辽宁辽阳文圣
26211004	辽宁辽阳宏伟
26211005	辽宁辽阳弓长岭
26211011	辽宁辽阳太子河
26211021	辽宁辽阳县
26211081	辽宁灯塔
262111	辽宁盘锦
26211101	辽宁盘锦
26211102	辽宁盘锦双台子
26211103	辽宁盘锦兴隆台
26211121	辽宁大洼
26211122	辽宁盘山
262112	辽宁铁岭市
26211201	辽宁铁岭
26211202	辽宁铁岭银州
26211204	辽宁铁岭清河
26211221	辽宁铁岭县
26211223	辽宁西丰
26211224	辽宁昌图
26211281	辽宁调兵山
26211282	辽宁开原
262113	辽宁朝阳市
26211301	辽宁朝阳
26211302	辽宁朝阳双塔
26211303	辽宁朝阳龙城
26211321	辽宁朝阳县
26211322	辽宁建平
26211324	辽宁喀喇沁左翼
26211381	辽宁北票
26211382	辽宁凌源
262114	辽宁葫芦岛
26211401	辽宁葫芦岛
26211402	辽宁葫芦岛连山
26211403	辽宁葫芦岛龙港
26211404	辽宁葫芦岛南票
26211421	辽宁绥中
26211422	辽宁建昌
26211481	辽宁兴城
26220	吉林
262201	吉林长春
26220101	吉林长春
26220102	吉林长春南关
26220103	吉林长春宽城
26220104	吉林长春朝阳
26220105	吉林长春二道
26220106	吉林长春绿园
26220112	吉林长春双阳
26220122	吉林农安
26220181	吉林九台
26220182	吉林榆树
26220183	吉林德惠
262202	吉林省吉林市
26220201	吉林省吉林市
26220202	吉林吉林昌邑
26220203	吉林吉林龙潭
26220204	吉林吉林船营
26220211	吉林吉林丰满
26220221	吉林永吉
26220281	吉林蛟河
26220282	吉林桦甸
26220283	吉林舒兰
26220284	吉林磐石
262203	吉林四平
26220301	吉林四平
26220302	吉林四平铁西
26220303	吉林四平铁东
26220322	吉林梨树
26220323	吉林伊通
26220381	吉林公主岭
26220382	吉林双辽
262204	吉林辽源
26220401	吉林辽源
26220402	吉林辽源龙山
26220403	吉林辽源西安
26220421	吉林东丰
26220422	吉林东辽
262205	吉林通化市
26220501	吉林通化
26220502	吉林通化东昌
26220503	吉林通化二道江
26220521	吉林通化县
26220523	吉林辉南
26220524	吉林柳河
26220581	吉林梅河口
26220582	吉林集安
262206	吉林白山
26220601	吉林白山
26220602	吉林白山八道江
26220621	吉林抚松
26220622	吉林靖宇
26220623	吉林长白
26220625	吉林江源
26220681	吉林临江
262207	吉林松原
26220701	吉林松原
26220702	吉林松原宁江
26220721	吉林前郭尔罗斯
26220722	吉林长岭
26220723	吉林乾安
26220724	吉林扶余
262208	吉林白城
26220801	吉林白城
26220802	吉林白城洮北
26220821	吉林镇赉
26220822	吉林通榆
26220881	吉林洮南
26220882	吉林大安
262224	吉林延边
26222401	吉林延吉
26222402	吉林图们
26222403	吉林敦化
26222404	吉林珲春
26222405	吉林龙井
26222406	吉林和龙
26222424	吉林汪清
26222426	吉林安图
26230	黑龙江
262301	黑龙江哈尔滨
26230101	黑龙江哈尔滨
26230102	黑龙江哈尔滨道里
26230103	黑龙江哈尔滨南岗
26230104	黑龙江哈尔滨道外
26230105	黑龙江哈尔滨太平
26230106	黑龙江哈尔滨香坊
26230107	黑龙江哈尔滨动力
26230108	黑龙江哈尔滨平房
26230109	黑龙江哈尔滨松北
26230111	黑龙江哈尔滨呼兰
26230123	黑龙江依兰
26230124	黑龙江方正
26230125	黑龙江宾县
26230126	黑龙江巴彦
26230127	黑龙江木兰
26230128	黑龙江通河
26230129	黑龙江延寿
26230181	黑龙江阿城
26230182	黑龙江双城
26230183	黑龙江尚志
26230184	黑龙江五常
262302	黑龙江齐齐哈尔
26230201	黑龙江齐齐哈尔
26230202	黑龙江齐齐哈尔龙沙
26230203	黑龙江齐齐哈尔建华
26230204	黑龙江齐齐哈尔铁锋
26230205	黑龙江齐齐哈尔昂昂溪
26230206	黑龙江齐齐哈尔富拉尔基
26230207	黑龙江齐齐哈尔碾子山
26230208	黑龙江齐齐哈尔梅里斯达
26230221	黑龙江龙江
26230223	黑龙江依安
26230224	黑龙江泰来
26230225	黑龙江甘南
26230227	黑龙江富裕
26230229	黑龙江克山
26230230	黑龙江克东
26230231	黑龙江拜泉
26230281	黑龙江讷河
262303	黑龙江鸡西
26230301	黑龙江鸡西
26230302	黑龙江鸡西鸡冠
26230303	黑龙江鸡西恒山
26230304	黑龙江鸡西滴道
26230305	黑龙江鸡西梨树
26230306	黑龙江鸡西城子河
26230307	黑龙江鸡西麻山
26230321	黑龙江鸡东
26230381	黑龙江虎林
26230382	黑龙江密山
262304	黑龙江鹤岗
26230401	黑龙江鹤岗
26230402	黑龙江鹤岗向阳
26230403	黑龙江鹤岗工农
26230404	黑龙江鹤岗南山
26230405	黑龙江鹤岗兴安
26230406	黑龙江鹤岗东山
26230407	黑龙江鹤岗兴山
26230421	黑龙江萝北
26230422	黑龙江绥滨
262305	黑龙江双鸭山
26230501	黑龙江双鸭山
26230502	黑龙江双鸭山尖山
26230503	黑龙江双鸭山岭东
26230505	黑龙江双鸭山四方台
26230506	黑龙江双鸭山宝山
26230521	黑龙江集贤
26230522	黑龙江友谊
26230523	黑龙江宝清
26230524	黑龙江饶河
262306	黑龙江大庆
26230601	黑龙江大庆
26230602	黑龙江大庆萨尔图
26230603	黑龙江大庆龙凤
26230604	黑龙江大庆让胡路
26230605	黑龙江大庆红岗
26230606	黑龙江大庆大同
26230621	黑龙江肇州
26230622	黑龙江肇源
26230623	黑龙江林甸
26230624	黑龙江杜尔伯特
262307	黑龙江伊春
26230701	黑龙江伊春
26230702	黑龙江伊春伊春
26230703	黑龙江伊春南岔
